Diagnosis Code,Procedure Code
I25.719,A9538
I25.720,A9538
I25.721,A9538
I25.718,A9560
I25.719,A9560
I25.720,A9560
I25.721,A9560
I25.718,J0153
I25.719,J0153
I25.720,J0153
I25.721,J0153
I25.718,J1245
I25.719,J1245
I25.720,J1245
I25.721,J1245
I25.718,J1250
I25.719,J1250
I25.720,J1250
I25.721,J1250
I25.718,J2785
I25.719,J2785
I25.720,J2785
I25.721,J2785
I25.728,78451
I25.729,78451
I25.730,78451
I25.731,78451
I25.728,78452
I25.729,78452
I25.730,78452
I25.731,78452
I25.728,78453
I25.729,78453
I25.730,78453
I25.731,78453
I25.728,78454
I25.729,78454
I25.730,78454
I25.731,78454
I25.728,78466
I25.729,78466
I25.730,78466
I25.731,78466
I25.728,78468
I25.729,78468
I25.730,78468
I25.731,78468
I25.728,78469
I25.729,78469
I25.730,78469
I25.731,78469
I25.728,78472
I25.729,78472
I25.730,78472
I25.731,78472
I25.728,78473
I25.729,78473
I25.730,78473
I25.731,78473
I25.728,78481
I25.729,78481
I25.730,78481
I25.731,78481
I25.728,78483
I25.729,78483
I25.730,78483
I25.731,78483
I25.728,78494
I25.729,78494
I25.730,78494
I25.731,78494
I25.728,78496
I25.729,78496
I25.730,78496
I25.731,78496
I25.728,93015
I25.729,93015
I25.730,93015
I25.731,93015
I25.728,93016
I25.729,93016
I25.730,93016
I25.731,93016
I25.728,93017
I25.729,93017
I25.730,93017
I25.731,93017
I25.728,93018
I25.729,93018
I25.730,93018
I25.731,93018
I25.728,A9500
I25.729,A9500
I25.730,A9500
I25.731,A9500
I25.728,A9501
I25.729,A9501
I25.730,A9501
I25.731,A9501
I25.728,A9502
I25.729,A9502
I25.730,A9502
I25.731,A9502
I25.728,A9505
I25.729,A9505
I25.730,A9505
I25.731,A9505
I25.728,A9512
I25.729,A9512
I25.730,A9512
I25.731,A9512
I25.728,A9538
I25.729,A9538
I25.730,A9538
I25.731,A9538
I25.728,A9560
I25.729,A9560
I25.730,A9560
I25.731,A9560
I25.728,J0153
I25.729,J0153
I25.730,J0153
I25.731,J0153
I25.728,J1245
I25.729,J1245
I25.730,J1245
I25.731,J1245
I25.728,J1250
I25.729,J1250
I25.730,J1250
I25.731,J1250
I25.728,J2785
I25.729,J2785
I25.730,J2785
I25.731,J2785
I25.758,78451
I25.759,78451
I25.760,78451
I25.761,78451
I25.758,78452
I25.759,78452
I25.760,78452
I25.761,78452
I25.758,78453
I25.759,78453
I25.760,78453
I25.761,78453
I25.758,78454
I25.759,78454
I25.760,78454
I25.761,78454
I25.758,78466
I25.759,78466
I25.760,78466
I25.761,78466
I25.758,78468
I25.759,78468
I25.760,78468
I25.761,78468
I25.758,78469
I25.759,78469
I25.760,78469
I25.761,78469
I25.758,78472
I25.759,78472
I25.760,78472
I25.761,78472
I25.758,78473
I25.759,78473
I25.760,78473
I25.761,78473
I25.758,78481
I25.759,78481
I25.760,78481
I25.761,78481
I25.758,78483
I25.759,78483
I25.760,78483
I25.761,78483
I25.758,78494
I25.759,78494
I25.760,78494
I25.761,78494
I25.758,78496
I25.759,78496
I25.760,78496
I25.761,78496
I25.758,93015
I25.759,93015
I25.760,93015
I25.761,93015
I25.758,93016
I25.759,93016
I25.760,93016
I25.761,93016
I25.758,93017
I25.759,93017
I25.760,93017
I25.761,93017
I25.758,93018
I25.759,93018
I25.760,93018
I25.761,93018
I25.758,A9500
I25.759,A9500
I25.760,A9500
I25.761,A9500
I25.758,A9501
I25.759,A9501
I25.760,A9501
I25.761,A9501
I25.758,A9502
I25.759,A9502
I25.760,A9502
I25.761,A9502
I25.758,A9505
I25.759,A9505
I25.760,A9505
I25.761,A9505
I25.758,A9512
I25.759,A9512
I25.760,A9512
I25.761,A9512
I25.758,A9538
I25.759,A9538
I25.760,A9538
I25.761,A9538
I25.758,A9560
I25.759,A9560
I25.760,A9560
I25.761,A9560
I25.758,J0153
I25.759,J0153
I25.760,J0153
I25.761,J0153
I25.758,J1245
I25.759,J1245
I25.760,J1245
I25.761,J1245
I25.758,J1250
I25.759,J1250
I25.760,J1250
I25.761,J1250
I25.758,J2785
I25.759,J2785
I25.760,J2785
I25.761,J2785
H25.11,66840
H25.12,66840
H25.13,66840
H25.11,66850
H25.12,66850
H25.13,66850
H25.11,66852
H25.12,66852
H25.13,66852
H25.11,66920
H25.12,66920
H25.13,66920
H25.11,66930
H25.12,66930
H25.13,66930
H25.11,66940
H25.12,66940
H25.13,66940
H25.11,66982
H25.12,66982
H25.13,66982
H25.11,66983
H25.12,66983
H25.13,66983
H25.11,66984
H25.12,66984
H25.13,66984
H25.31,66840
H25.32,66840
H25.33,66840
H25.31,66850
H25.32,66850
H25.33,66850
H25.31,66852
H25.32,66852
H25.33,66852
H25.31,66920
H25.32,66920
H25.33,66920
H25.31,66930
H25.32,66930
H25.33,66930
H25.31,66940
H25.32,66940
H25.33,66940
H25.31,66982
H25.32,66982
H25.33,66982
H25.31,66983
H25.32,66983
H25.33,66983
H25.31,66984
H25.32,66984
H25.33,66984
H25.41,66840
H25.42,66840
H25.43,66840
H25.41,66850
H25.42,66850
H25.43,66850
H25.41,66852
H25.42,66852
H25.43,66852
H25.41,66920
H25.42,66920
H25.43,66920
H25.41,66930
H25.42,66930
H25.43,66930
H25.41,66940
H25.42,66940
H25.43,66940
H25.41,66982
H25.42,66982
H25.43,66982
H25.41,66983
H25.42,66983
H25.43,66983
H25.41,66984
H25.42,66984
H25.43,66984
H25.811,66840
H25.812,66840
H25.813,66840
H25.811,66850
H25.812,66850
H25.813,66850
H25.811,66852
H25.812,66852
H25.813,66852
H25.811,66920
H25.812,66920
H25.813,66920
H25.811,66930
H25.812,66930
H25.813,66930
H25.811,66940
H25.812,66940
H25.813,66940
H25.811,66982
H25.812,66982
H25.813,66982
H25.811,66983
H25.812,66983
H25.813,66983
H25.811,66984
H25.812,66984
H25.813,66984
H26.01,66840
H26.02,66840
H26.03,66840
H26.01,66850
H26.02,66850
H26.03,66850
H26.01,66852
H26.02,66852
H26.03,66852
H26.01,66920
H26.02,66920
H26.03,66920
H26.01,66930
H26.02,66930
H26.03,66930
H26.01,66940
H26.02,66940
H26.03,66940
H26.01,66982
H26.02,66982
H26.03,66982
H26.01,66983
H26.02,66983
H26.03,66983
H26.01,66984
H26.02,66984
H26.03,66984
H26.11,66840
H26.12,66840
H26.13,66840
H26.11,66850
H26.12,66850
H26.13,66850
H26.11,66852
H26.12,66852
H26.13,66852
H26.11,66920
H26.12,66920
H26.13,66920
H26.11,66930
H26.12,66930
H26.13,66930
H26.11,66940
H26.12,66940
H26.13,66940
H26.11,66982
H26.12,66982
H26.13,66982
H26.11,66983
H26.12,66983
H26.13,66983
H26.11,66984
H26.12,66984
H26.13,66984
H26.31,66840
H26.32,66840
H26.33,66840
H26.31,66850
H26.32,66850
H26.33,66850
H26.31,66852
H26.32,66852
H26.33,66852
H26.31,66920
H26.32,66920
H26.33,66920
H26.31,66930
H26.32,66930
H26.33,66930
H26.31,66940
H26.32,66940
H26.33,66940
H26.31,66982
H26.32,66982
H26.33,66982
H26.31,66983
H26.32,66983
H26.33,66983
H26.31,66984
H26.32,66984
H26.33,66984
H26.41,66840
H26.42,66840
H26.43,66840
H26.41,66850
H26.42,66850
H26.43,66850
H26.41,66852
H26.42,66852
H26.43,66852
H26.41,66920
H26.42,66920
H26.43,66920
H26.41,66930
H26.42,66930
H26.43,66930
H26.41,66940
H26.42,66940
H26.43,66940
H26.41,66982
H26.42,66982
H26.43,66982
H26.41,66983
H26.42,66983
H26.43,66983
H26.41,66984
H26.42,66984
H26.43,66984
H26.51,66840
H26.52,66840
H26.53,66840
H26.51,66850
H26.52,66850
H26.53,66850
H26.51,66852
H26.52,66852
H26.53,66852
H26.51,66920
H26.52,66920
H26.53,66920
H26.51,66930
H26.52,66930
H26.53,66930
H26.51,66940
H26.52,66940
H26.53,66940
H26.51,66982
H26.52,66982
H26.53,66982
H26.51,66983
H26.52,66983
H26.53,66983
H26.51,66984
H26.52,66984
H26.53,66984
H26.61,66840
H26.62,66840
H26.63,66840
H26.61,66850
H26.62,66850
H26.63,66850
H26.61,66852
H26.62,66852
H26.63,66852
H26.61,66920
H26.62,66920
H26.63,66920
H26.61,66930
H26.62,66930
H26.63,66930
H26.61,66940
H26.62,66940
H26.63,66940
H26.61,66982
H26.62,66982
H26.63,66982
H26.61,66983
H26.62,66983
H26.63,66983
H26.61,66984
H26.62,66984
H26.63,66984
H26.101,66840
H26.102,66840
H26.103,66840
H26.101,66850
H26.102,66850
H26.103,66850
H26.101,66852
H26.102,66852
H26.103,66852
H26.101,66920
H26.102,66920
H26.103,66920
H26.101,66930
H26.102,66930
H26.103,66930
H26.101,66940
H26.102,66940
H26.103,66940
H26.101,66982
H26.102,66982
H26.103,66982
H26.101,66983
H26.102,66983
H26.103,66983
H26.101,66984
H26.102,66984
H26.103,66984
H26.111,66840
H26.112,66840
H26.113,66840
H26.111,66850
H26.112,66850
H26.113,66850
H26.111,66852
H26.112,66852
H26.113,66852
H26.111,66920
H26.112,66920
H26.113,66920
H26.111,66930
H26.112,66930
H26.113,66930
H26.111,66940
H26.112,66940
H26.113,66940
H26.111,66982
H26.112,66982
H26.113,66982
H26.111,66983
H26.112,66983
H26.113,66983
H26.111,66984
H26.112,66984
H26.113,66984
H26.121,66840
H26.122,66840
H26.123,66840
H26.121,66850
H26.122,66850
H26.123,66850
H26.121,66852
H26.122,66852
H26.123,66852
H26.121,66920
H26.122,66920
H26.123,66920
H26.121,66930
H26.122,66930
H26.123,66930
H26.121,66940
H26.122,66940
H26.123,66940
H26.121,66982
H26.122,66982
H26.123,66982
H26.121,66983
H26.122,66983
H26.123,66983
H26.121,66984
H26.122,66984
H26.123,66984
H26.131,66840
H26.132,66840
H26.133,66840
H26.131,66850
H26.132,66850
H26.133,66850
H26.131,66852
H26.132,66852
H26.133,66852
H26.131,66920
H26.132,66920
H26.133,66920
H26.131,66930
H26.132,66930
H26.133,66930
H26.131,66940
H26.132,66940
H26.133,66940
H26.131,66982
H26.132,66982
H26.133,66982
H26.131,66983
H26.132,66983
H26.133,66983
H26.131,66984
H26.132,66984
H26.133,66984
H26.211,66840
H26.212,66840
H26.213,66840
H26.211,66850
H26.212,66850
H26.213,66850
H26.211,66852
H26.212,66852
H26.213,66852
H26.211,66920
H26.212,66920
H26.213,66920
H26.211,66930
H26.212,66930
H26.213,66930
H26.211,66940
H26.212,66940
H26.213,66940
H26.211,66982
H26.212,66982
H26.213,66982
H26.211,66983
H26.212,66983
H26.213,66983
H26.211,66984
H26.212,66984
H26.213,66984
H26.221,66840
H26.222,66840
H26.223,66840
H26.221,66850
H26.222,66850
H26.223,66850
H26.221,66852
H26.222,66852
H26.223,66852
H26.221,66920
H26.222,66920
H26.223,66920
H26.221,66930
H26.222,66930
H26.223,66930
H26.221,66940
H26.222,66940
H26.223,66940
H26.221,66982
H26.222,66982
H26.223,66982
H26.221,66983
H26.222,66983
H26.223,66983
H26.221,66984
H26.222,66984
H26.223,66984
H26.231,66840
H26.232,66840
H26.233,66840
H26.231,66850
H26.232,66850
H26.233,66850
H26.231,66852
H26.232,66852
H26.233,66852
H26.231,66920
H26.232,66920
H26.233,66920
H26.231,66930
H26.232,66930
H26.233,66930
H26.231,66940
H26.232,66940
H26.233,66940
H26.231,66982
H26.232,66982
H26.233,66982
H26.231,66983
H26.232,66983
H26.233,66983
H26.231,66984
H26.232,66984
H26.233,66984
H27.111,66840
H27.112,66840
H27.113,66840
H27.111,66850
H27.112,66850
H27.113,66850
H27.111,66852
H27.112,66852
H27.113,66852
H27.111,66920
H27.112,66920
H27.113,66920
H27.111,66930
H27.112,66930
H27.113,66930
H27.111,66940
H27.112,66940
H27.113,66940
H27.111,66982
H27.112,66982
H27.113,66982
H27.111,66983
H27.112,66983
H27.113,66983
H27.111,66984
H27.112,66984
H27.113,66984
H27.121,66840
H27.122,66840
H27.123,66840
H27.121,66850
H27.122,66850
H27.123,66850
H27.121,66852
H27.122,66852
H27.123,66852
H27.121,66920
H27.122,66920
H27.123,66920
H27.121,66930
H27.122,66930
H27.123,66930
H27.121,66940
H27.122,66940
H27.123,66940
H27.121,66982
H27.122,66982
H27.123,66982
H27.121,66983
H27.122,66983
H27.123,66983
H27.121,66984
H27.122,66984
H27.123,66984
H27.131,66840
H27.132,66840
H27.133,66840
H27.131,66850
H27.132,66850
H27.133,66850
H27.131,66852
H27.132,66852
H27.133,66852
H27.131,66920
H27.132,66920
H27.133,66920
H27.131,66930
H27.132,66930
H27.133,66930
H27.131,66940
H27.132,66940
H27.133,66940
H27.131,66982
H27.132,66982
H27.133,66982
H27.131,66983
H27.132,66983
H27.133,66983
H27.131,66984
H27.132,66984
H27.133,66984
H33.01,66840
H33.02,66840
H33.03,66840
H33.01,66850
H33.02,66850
H33.03,66850
H33.01,66852
H33.02,66852
H33.03,66852
H33.01,66920
H33.02,66920
H33.03,66920
H33.01,66930
H33.02,66930
H33.03,66930
H33.01,66940
H33.02,66940
H33.03,66940
H33.01,66982
H33.02,66982
H33.03,66982
H33.01,66983
H33.02,66983
H33.03,66983
H33.01,66984
H33.02,66984
H33.03,66984
H33.11,66840
H33.12,66840
H33.13,66840
H33.11,66850
H33.12,66850
H33.13,66850
H33.11,66852
H33.12,66852
H33.13,66852
H33.11,66920
H33.12,66920
H33.13,66920
H33.11,66930
H33.12,66930
H33.13,66930
H33.11,66940
H33.12,66940
H33.13,66940
H33.11,66982
H33.12,66982
H33.13,66982
H33.11,66983
H33.12,66983
H33.13,66983
H33.11,66984
H33.12,66984
H33.13,66984
H33.21,66840
H33.22,66840
H33.23,66840
H33.21,66850
H33.22,66850
H33.23,66850
H33.21,66852
H33.22,66852
H33.23,66852
H33.21,66920
H33.22,66920
H33.23,66920
H33.21,66930
H33.22,66930
H33.23,66930
H33.21,66940
H33.22,66940
H33.23,66940
H33.21,66982
H33.22,66982
H33.23,66982
H33.21,66983
H33.22,66983
H33.23,66983
H33.21,66984
H33.22,66984
H33.23,66984
H33.31,66840
H33.32,66840
H33.33,66840
H33.31,66850
H33.32,66850
H33.33,66850
H33.31,66852
H33.32,66852
H33.33,66852
H33.31,66920
H33.32,66920
H33.33,66920
H33.31,66930
H33.32,66930
H33.33,66930
H33.31,66940
H33.32,66940
H33.33,66940
H33.31,66982
H33.32,66982
H33.33,66982
H33.31,66983
H33.32,66983
H33.33,66983
H33.31,66984
H33.32,66984
H33.33,66984
H33.41,66840
H33.42,66840
H33.43,66840
H33.41,66850
H33.42,66850
H33.43,66850
H33.41,66852
H33.42,66852
H33.43,66852
H33.41,66920
H33.42,66920
H33.43,66920
H33.41,66930
H33.42,66930
H33.43,66930
H33.41,66940
H33.42,66940
H33.43,66940
H33.41,66982
H33.42,66982
H33.43,66982
H33.41,66983
H33.42,66983
H33.43,66983
H33.41,66984
H33.42,66984
H33.43,66984
H33.51,66840
H33.52,66840
H33.53,66840
H33.51,66850
H33.52,66850
H33.53,66850
H33.51,66852
H33.52,66852
H33.53,66852
H33.51,66920
H33.52,66920
H33.53,66920
H33.51,66930
H33.52,66930
H33.53,66930
H33.51,66940
H33.52,66940
H33.53,66940
H33.51,66982
H33.52,66982
H33.53,66982
H33.51,66983
H33.52,66983
H33.53,66983
H33.51,66984
H33.52,66984
H33.53,66984
H43.821,66840
H43.822,66840
H43.823,66840
H43.821,66850
H43.822,66850
H43.823,66850
H43.821,66852
H43.822,66852
H43.823,66852
H43.821,66920
H43.822,66920
H43.823,66920
H43.821,66930
H43.822,66930
H43.823,66930
H43.821,66940
H43.822,66940
H43.823,66940
H43.821,66982
H43.822,66982
H43.823,66982
H43.821,66983
H43.822,66983
H43.823,66983
H43.821,66984
H43.822,66984
H43.823,66984
K50.11,44388
K50.12,44388
K50.13,44388
K50.14,44388
K50.11,44389
K50.12,44389
K50.13,44389
K50.14,44389
K50.11,44390
K50.12,44390
K50.13,44390
K50.14,44390
K50.11,44391
K50.12,44391
K50.13,44391
K50.14,44391
K50.11,44392
K50.12,44392
K50.13,44392
K50.14,44392
K50.11,44394
K50.12,44394
K50.13,44394
K50.14,44394
K50.11,44401
K50.12,44401
K50.13,44401
K50.14,44401
K50.11,44402
K50.12,44402
K50.13,44402
K50.14,44402
K50.11,45300
K50.12,45300
K50.13,45300
K50.14,45300
K50.11,45303
K50.12,45303
K50.13,45303
K50.14,45303
K50.11,45305
K50.12,45305
K50.13,45305
K50.14,45305
K50.11,45307
K50.12,45307
K50.13,45307
K50.14,45307
K50.11,45308
K50.12,45308
K50.13,45308
K50.14,45308
K50.11,45309
K50.12,45309
K50.13,45309
K50.14,45309
K50.11,45315
K50.12,45315
K50.13,45315
K50.14,45315
K50.11,45317
K50.12,45317
K50.13,45317
K50.14,45317
K50.11,45320
K50.12,45320
K50.13,45320
K50.14,45320
K50.11,45321
K50.12,45321
K50.13,45321
K50.14,45321
K50.11,45327
K50.12,45327
K50.13,45327
K50.14,45327
K50.11,45330
K50.12,45330
K50.13,45330
K50.14,45330
K50.11,45331
K50.12,45331
K50.13,45331
K50.14,45331
K50.11,45332
K50.12,45332
K50.13,45332
K50.14,45332
K50.11,45333
K50.12,45333
K50.13,45333
K50.14,45333
K50.11,45334
K50.12,45334
K50.13,45334
K50.14,45334
K50.11,45335
K50.12,45335
K50.13,45335
K50.14,45335
K50.11,45337
K50.12,45337
K50.13,45337
K50.14,45337
K50.11,45338
K50.12,45338
K50.13,45338
K50.14,45338
K50.11,45340
K50.12,45340
K50.13,45340
K50.14,45340
K50.11,45341
K50.12,45341
K50.13,45341
K50.14,45341
K50.11,45342
K50.12,45342
K50.13,45342
K50.14,45342
K50.11,45346
K50.12,45346
K50.13,45346
K50.14,45346
K50.11,45347
K50.12,45347
K50.13,45347
K50.14,45347
K50.11,45378
K50.12,45378
K50.13,45378
K50.14,45378
K50.11,45379
K50.12,45379
K50.13,45379
K50.14,45379
K50.11,45380
K50.12,45380
K50.13,45380
K50.14,45380
K50.11,45381
K50.12,45381
K50.13,45381
K50.14,45381
K50.11,45382
K50.12,45382
K50.13,45382
K50.14,45382
K50.11,45384
K50.12,45384
K50.13,45384
K50.14,45384
K50.11,45385
K50.12,45385
K50.13,45385
K50.14,45385
K50.11,45386
K50.12,45386
K50.13,45386
K50.14,45386
K50.11,45388
K50.12,45388
K50.13,45388
K50.14,45388
K50.11,45389
K50.12,45389
K50.13,45389
K50.14,45389
K50.11,45391
K50.12,45391
K50.13,45391
K50.14,45391
K50.11,45392
K50.12,45392
K50.13,45392
K50.14,45392
K50.11,45399
K50.12,45399
K50.13,45399
K50.14,45399
K50.111,44388
K50.112,44388
K50.113,44388
K50.114,44388
K50.111,44389
K50.112,44389
K50.113,44389
K50.114,44389
K50.111,44390
K50.112,44390
K50.113,44390
K50.114,44390
K50.111,44391
K50.112,44391
K50.113,44391
K50.114,44391
K50.111,44392
K50.112,44392
K50.113,44392
K50.114,44392
K50.111,44394
K50.112,44394
K50.113,44394
K50.114,44394
K50.111,44401
K50.112,44401
K50.113,44401
K50.114,44401
K50.111,44402
K50.112,44402
K50.113,44402
K50.114,44402
K50.111,45300
K50.112,45300
K50.113,45300
K50.114,45300
K50.111,45303
K50.112,45303
K50.113,45303
K50.114,45303
K50.111,45305
K50.112,45305
K50.113,45305
K50.114,45305
K50.111,45307
K50.112,45307
K50.113,45307
K50.114,45307
K50.111,45308
K50.112,45308
K50.113,45308
K50.114,45308
K50.111,45309
K50.112,45309
K50.113,45309
K50.114,45309
K50.111,45315
K50.112,45315
K50.113,45315
K50.114,45315
K50.111,45317
K50.112,45317
K50.113,45317
K50.114,45317
K50.111,45320
K50.112,45320
K50.113,45320
K50.114,45320
K50.111,45321
K50.112,45321
K50.113,45321
K50.114,45321
K50.111,45327
K50.112,45327
K50.113,45327
K50.114,45327
K50.111,45330
K50.112,45330
K50.113,45330
K50.114,45330
K50.111,45331
K50.112,45331
K50.113,45331
K50.114,45331
K50.111,45332
K50.112,45332
K50.113,45332
K50.114,45332
K50.111,45333
K50.112,45333
K50.113,45333
K50.114,45333
K50.111,45334
K50.112,45334
K50.113,45334
K50.114,45334
K50.111,45335
K50.112,45335
K50.113,45335
K50.114,45335
K50.111,45337
K50.112,45337
K50.113,45337
K50.114,45337
K50.111,45338
K50.112,45338
K50.113,45338
K50.114,45338
K50.111,45340
K50.112,45340
K50.113,45340
K50.114,45340
K50.111,45341
K50.112,45341
K50.113,45341
K50.114,45341
K50.111,45342
K50.112,45342
K50.113,45342
K50.114,45342
K50.111,45346
K50.112,45346
K50.113,45346
K50.114,45346
K50.111,45347
K50.112,45347
K50.113,45347
K50.114,45347
K50.111,45378
K50.112,45378
K50.113,45378
K50.114,45378
K50.111,45379
K50.112,45379
K50.113,45379
K50.114,45379
K50.111,45380
K50.112,45380
K50.113,45380
K50.114,45380
K50.111,45381
K50.112,45381
K50.113,45381
K50.114,45381
K50.111,45382
