Place Of Service,Service Type,Plan,Group Size,In Network,Is Covered,Date Of Service Min,Date Of Service Max,Covered in Full,Copay,Coinsurance
Outpatient,ambulance,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,ambulance,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,ambulance,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,ambulance,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,ambulance,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,ambulance,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,ambulatorySurgery,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,ambulatorySurgery,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,ambulatorySurgery,PL123,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,ambulatorySurgery,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,ambulatorySurgery,PL123,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,ambulatorySurgery,PL123,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,anesthesia,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,anesthesia,PL123,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,anesthesia,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,anesthesia,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,anesthesia,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,anesthesia,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,anticoagulantTherapy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,anticoagulantTherapy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,anticoagulantTherapy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,anticoagulantTherapy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,anticoagulantTherapy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,anticoagulantTherapy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,autismEvaluation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,autismEvaluation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,autismEvaluation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,autismEvaluation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,autismEvaluation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,autismEvaluation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,autologousBlood,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,autologousBlood,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,autologousBlood,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,autologousBlood,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,autologousBlood,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,autologousBlood,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,biofeedback,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,biofeedback,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,biofeedback,PL123,L,Y,N,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,biofeedback,PL123,L,Y,N,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,biofeedback,PL123,L,Y,N,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,biofeedback,PL123,L,N,N,1/1/2015,12/31/2023,N,N,Y
Office,boneDensityTest,PL123,L,N,N,1/1/2015,12/31/2023,N,N,Y
Outpatient,boneDensityTest,PL123,L,N,N,1/1/2015,12/31/2023,N,N,Y
Inpatient,boneDensityTest,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,boneDensityTest,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,boneDensityTest,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,boneDensityTest,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,brapostmastectomy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,brapostmastectomy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,brapostmastectomy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,brapostmastectomy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,brapostmastectomy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,brapostmastectomy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cardiacRehabilitation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cardiacRehabilitation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cardiacRehabilitation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,cardiacRehabilitation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,cardiacRehabilitation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,cardiacRehabilitation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cerumenWaxRemoval,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cerumenWaxRemoval,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cerumenWaxRemoval,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,cerumenWaxRemoval,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,cerumenWaxRemoval,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,cerumenWaxRemoval,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cerumenWaxRemoval,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cerumenWaxRemoval,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cerumenWaxRemoval,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,cerumenWaxRemoval,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,cerumenWaxRemoval,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,cerumenWaxRemoval,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,chemotherapy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,chemotherapy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,chemotherapy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,chemotherapy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,chemotherapy,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,chemotherapy,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,childbirthClasses,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,childbirthClasses,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,childbirthClasses,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,childbirthClasses,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,childbirthClasses,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,childbirthClasses,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,childImmunizations,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,childImmunizations,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,childImmunizations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,childImmunizations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,childImmunizations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,childImmunizations,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,chiropracticServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,chiropracticServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,chiropracticServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,chiropracticServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,chiropracticServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,chiropracticServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,chlamydiaScreening,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,chlamydiaScreening,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,chlamydiaScreening,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,chlamydiaScreening,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,chlamydiaScreening,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,chlamydiaScreening,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,christianScienceServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,christianScienceServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,christianScienceServices,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,christianScienceServices,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,christianScienceServices,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,christianScienceServices,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,clinicalTrials,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicalTrials,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicalTrials,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,clinicalTrials,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicalTrials,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicalTrials,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,clinicServices,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicServices,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,clinicServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,clinicServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,clinicServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,coeBariatricSurgery,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,coeBariatricSurgery,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,coeBariatricSurgery,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,coeBariatricSurgery,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,coeBariatricSurgery,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,coeBariatricSurgery,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,coeOrganTransplant,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,coeOrganTransplant,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,coeOrganTransplant,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,coeOrganTransplant,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,coeOrganTransplant,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,coeOrganTransplant,PL123,L,N,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,essentalDentalServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,essentalDentalServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,essentalDentalServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,essentalDentalServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,essentalDentalServices,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,essentalDentalServices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,consciousSedation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,consciousSedation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,consciousSedation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,consciousSedation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,consciousSedation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,consciousSedation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,consultations,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,consultations,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,consultations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,consultations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,consultations,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,consultations,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,contraceptiveDevices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,contraceptiveDevices,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,contraceptiveDevices,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,contraceptiveDevices,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,contraceptiveDevices,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,contraceptiveDevices,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,contrastAgents,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,contrastAgents,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,contrastAgents,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,contrastAgents,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,contrastAgents,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,contrastAgents,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cultredSubstituteSurgery,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cultredSubstituteSurgery,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cultredSubstituteSurgery,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,cultredSubstituteSurgery,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,cultredSubstituteSurgery,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,cultredSubstituteSurgery,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticDme,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticDme,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticDme,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diabeticDme,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diabeticDme,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diabeticDme,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticDrugs,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticDrugs,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticDrugs,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticDrugs,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,diabeticDrugs,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticDrugs,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticEducation,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,diabeticEducation,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticEducation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diabeticEducation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diabeticEducation,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diabeticEducation,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticEyeExam,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticEyeExam,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticEyeExam,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diabeticEyeExam,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diabeticEyeExam,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diabeticEyeExam,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticFootCare,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticFootCare,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticFootCare,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diabeticFootCare,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diabeticFootCare,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diabeticFootCare,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticShoes,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticShoes,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticShoes,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diabeticShoes,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diabeticShoes,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diabeticShoes,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticSupplies,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticSupplies,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticSupplies,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diabeticSupplies,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diabeticSupplies,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diabeticSupplies,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diabeticTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diabeticTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diabeticTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diagnosticImaging,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diagnosticImaging,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diagnosticImaging,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diagnosticImaging,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diagnosticImaging,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diagnosticImaging,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diagnosticTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diagnosticTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diagnosticTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,diagnosticTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,diagnosticTesting,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,diagnosticTesting,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,dme,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,dme,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,dme,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,dme,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,dme,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,dme,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,electiveAbortion,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,electiveAbortion,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,electiveAbortion,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,electiveAbortion,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,electiveAbortion,PL123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,electiveAbortion,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,electiveSterilization,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,electiveSterilization,PL123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,electiveSterilization,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,electiveSterilization,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,electiveSterilization,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,electiveSterilization,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,electrocardiogram,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,electrocardiogram,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,electrocardiogram,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Outpatient,electrocardiogram,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Office,electrocardiogram,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
Inpatient,electrocardiogram,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,electroencephalogram,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,electroencephalogram,PL123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,electroencephalogram,PL123,L,Y,Y,1/1/2015,12/31/2023,N,Copay Minimal,N
